Model,community_expenditure,community_material_social_utility,provider_profit,provider_resource_cost,provider_revenue,provider_revenue_dispersion,total_social_surplus
M0 Random timing,73.0854,0.0,60.9045,12.1809,73.0854,5.860503704294441,60.9045
M1 Drought demand,206.8572,0.0,172.381,34.4762,206.8572,9.430097768254951,172.381
M2 Realistic hazard,206.9331,0.0,172.44425,34.48885,206.9331,9.53729717508285,172.44425
M3 Strategic selection,50.7498,0.0,42.2915,8.4583,50.7498,5.523337838234466,42.2915
M4 Bayesian reputation,58.89077651685765,-8.053976516857652,50.41797651685764,8.4728,58.89077651685765,7.6806740104126,42.364
M5 Selective/recency memory,77.16299011666402,-26.516390116664024,68.72189011666403,8.4411,77.16299011666402,11.494024186934377,42.2055
