model,term,coefficient,standard_error,ci_low,ci_high,p_value,n,inference,clusters,region_rule_clusters
naive,scenario_wtp,0.123731496415375,0.0194982431309439,0.0855156421169194,0.1619473507138306,2.21306080481426e-10,2595,model-based,,
hazard-adjusted,scenario_wtp,0.0360408194977451,0.0328129442519827,-0.0282713694628616,0.1003530084583518,0.2720420798695743,2595,model-based,,
hazard-adjusted,success_1mm_7d_mean,4.233530942468574,0.281104325222844,3.6825765891333657,4.784485295803783,2.9519743966453527e-51,2595,model-based,,
hazard-adjusted,drought_severity,-0.0673346613802843,0.1418521870627715,-0.3453598391515552,0.2106905163909865,0.6350137424551585,2595,model-based,,
hazard-adjusted,scenario_wtp,0.0360408194977451,0.0382099504949094,-0.0388493073233358,0.1109309463188261,0.3455626306704683,2595,two-way clustered: region-year and region-rule,80.0,40.0
hazard-adjusted,success_1mm_7d_mean,4.233530942468573,0.386287481728453,3.4764213906021317,4.990640494335016,5.980626528707299e-28,2595,two-way clustered: region-year and region-rule,80.0,40.0
hazard-adjusted,drought_severity,-0.0673346613802844,0.1239208259826044,-0.3102150172406445,0.1755456944800757,0.5868761758514585,2595,two-way clustered: region-year and region-rule,80.0,40.0
