Model,apparent_success,events,mean_price,price_success_difference,provider_price_dispersion,reputation_dispersion
M0 Random timing,0.6345240240024738,24.3618,3.0,0.0,0.0,0.0
M1 Drought demand,0.6338581768743975,68.9524,3.0,0.0,0.0,0.0
M2 Realistic hazard,0.4934326911269537,68.9777,3.0,0.0,0.0,0.0
M3 Strategic selection,0.6759514023183911,16.9166,3.0,0.0,0.0,0.0
M4 Bayesian reputation,0.6737303882905649,16.9456,3.567958443832158,-2.4471697004493125,0.8871371958167442,0.1167378292204624
M5 Selective/recency memory,0.673375582797228,16.8822,4.610214767818855,-3.036906032743648,1.3729622885080048,0.1381941193173202
