model,sample_size,outcome,mean,monte_carlo_se
M0_random_timing,500,apparent_success,0.6309376776254895,0.0083137719217575
M0_random_timing,500,mean_price,3.0,0.0
M0_random_timing,500,reputation_dispersion,0.0,0.0
M0_random_timing,1000,apparent_success,0.6333079671678283,0.0059124284438477
M0_random_timing,1000,mean_price,3.0,0.0
M0_random_timing,1000,reputation_dispersion,0.0,0.0
M0_random_timing,2500,apparent_success,0.6334439619368273,0.0038308145054064
M0_random_timing,2500,mean_price,3.0,0.0
M0_random_timing,2500,reputation_dispersion,0.0,0.0
M0_random_timing,5000,apparent_success,0.6344658734931031,0.0027157811304342
M0_random_timing,5000,mean_price,3.0,0.0
M0_random_timing,5000,reputation_dispersion,0.0,0.0
M0_random_timing,10000,apparent_success,0.6345240240024738,0.0019102168202764
M0_random_timing,10000,mean_price,3.0,0.0
M0_random_timing,10000,reputation_dispersion,0.0,0.0
M1_drought_demand,500,apparent_success,0.6311905272497437,0.0078867403849156
M1_drought_demand,500,mean_price,3.0,0.0
M1_drought_demand,500,reputation_dispersion,0.0,0.0
M1_drought_demand,1000,apparent_success,0.6330967811829367,0.0055254112392677
M1_drought_demand,1000,mean_price,3.0,0.0
M1_drought_demand,1000,reputation_dispersion,0.0,0.0
M1_drought_demand,2500,apparent_success,0.6356304359319239,0.0035606372977989
M1_drought_demand,2500,mean_price,3.0,0.0
M1_drought_demand,2500,reputation_dispersion,0.0,0.0
M1_drought_demand,5000,apparent_success,0.6352245670114909,0.0025183805546325
M1_drought_demand,5000,mean_price,3.0,0.0
M1_drought_demand,5000,reputation_dispersion,0.0,0.0
M1_drought_demand,10000,apparent_success,0.6338581768743975,0.0017687032050175
M1_drought_demand,10000,mean_price,3.0,0.0
M1_drought_demand,10000,reputation_dispersion,0.0,0.0
M2_realistic_hazard,500,apparent_success,0.4937073170394196,0.0127390497802993
M2_realistic_hazard,500,mean_price,3.0,0.0
M2_realistic_hazard,500,reputation_dispersion,0.0,0.0
M2_realistic_hazard,1000,apparent_success,0.4954419263053066,0.0089288505040402
M2_realistic_hazard,1000,mean_price,3.0,0.0
M2_realistic_hazard,1000,reputation_dispersion,0.0,0.0
M2_realistic_hazard,2500,apparent_success,0.4990317397591685,0.005675169024208
M2_realistic_hazard,2500,mean_price,3.0,0.0
M2_realistic_hazard,2500,reputation_dispersion,0.0,0.0
M2_realistic_hazard,5000,apparent_success,0.4961104885097564,0.0040045158876185
M2_realistic_hazard,5000,mean_price,3.0,0.0
M2_realistic_hazard,5000,reputation_dispersion,0.0,0.0
M2_realistic_hazard,10000,apparent_success,0.4934326911269537,0.0028137136824737
M2_realistic_hazard,10000,mean_price,3.0,0.0
M2_realistic_hazard,10000,reputation_dispersion,0.0,0.0
M3_strategic_selection,500,apparent_success,0.6702933601048341,0.0086229005088185
M3_strategic_selection,500,mean_price,3.0,0.0
M3_strategic_selection,500,reputation_dispersion,0.0,0.0
M3_strategic_selection,1000,apparent_success,0.6720678546292842,0.0060275621191705
M3_strategic_selection,1000,mean_price,3.0,0.0
M3_strategic_selection,1000,reputation_dispersion,0.0,0.0
M3_strategic_selection,2500,apparent_success,0.6739161031688786,0.0038710343839411
M3_strategic_selection,2500,mean_price,3.0,0.0
M3_strategic_selection,2500,reputation_dispersion,0.0,0.0
M3_strategic_selection,5000,apparent_success,0.6769551043571816,0.002728042681456
M3_strategic_selection,5000,mean_price,3.0,0.0
M3_strategic_selection,5000,reputation_dispersion,0.0,0.0
M3_strategic_selection,10000,apparent_success,0.6759514023183911,0.0019232414319588
M3_strategic_selection,10000,mean_price,3.0,0.0
M3_strategic_selection,10000,reputation_dispersion,0.0,0.0
M4_bayesian_reputation,500,apparent_success,0.6778618688637003,0.0085254971808378
M4_bayesian_reputation,500,mean_price,3.620169071613312,0.0539632521679406
M4_bayesian_reputation,500,reputation_dispersion,0.1167223044029017,0.0023097774105364
M4_bayesian_reputation,1000,apparent_success,0.6723552200039619,0.0059263726077401
M4_bayesian_reputation,1000,mean_price,3.5753595897611894,0.0380419185468774
M4_bayesian_reputation,1000,reputation_dispersion,0.1187120150298999,0.0016407948166193
M4_bayesian_reputation,2500,apparent_success,0.6719439736029347,0.0038106537555903
M4_bayesian_reputation,2500,mean_price,3.542024635871075,0.0238152895650839
M4_bayesian_reputation,2500,reputation_dispersion,0.1179896957515577,0.0010352759517231
M4_bayesian_reputation,5000,apparent_success,0.6741998890416669,0.0027255106002579
M4_bayesian_reputation,5000,mean_price,3.563500147877939,0.0170313647220003
M4_bayesian_reputation,5000,reputation_dispersion,0.1167266070896348,0.0007179481654748
M4_bayesian_reputation,10000,apparent_success,0.6737303882905649,0.001933178628786
M4_bayesian_reputation,10000,mean_price,3.567958443832158,0.0120107896493775
M4_bayesian_reputation,10000,reputation_dispersion,0.1167378292204623,0.0005104046500486
M5_selective_recency,500,apparent_success,0.6772648809774969,0.0087082494981233
M5_selective_recency,500,mean_price,4.6953925528615965,0.0624544821629301
M5_selective_recency,500,reputation_dispersion,0.142881012748969,0.0043824768392565
M5_selective_recency,1000,apparent_success,0.6696046480599301,0.0060836160191319
M5_selective_recency,1000,mean_price,4.639174286513855,0.0437487541072659
M5_selective_recency,1000,reputation_dispersion,0.1423507343975586,0.0030306046878034
M5_selective_recency,2500,apparent_success,0.6746105232948901,0.0038731338906562
M5_selective_recency,2500,mean_price,4.611901208299893,0.028043307711058
M5_selective_recency,2500,reputation_dispersion,0.1389223307085078,0.0019215862838861
M5_selective_recency,5000,apparent_success,0.6762086487585446,0.0027524904100575
M5_selective_recency,5000,mean_price,4.6126616549103465,0.0198594504409722
M5_selective_recency,5000,reputation_dispersion,0.138223686931846,0.0013712980595785
