Selection rule,Events,Apparent_success_1d,Apparent_success_3d,Apparent_success_7d,Apparent_success_14d,Mean_scenario_WTP
30-day deficit threshold,294,0.3741496598639456,0.5918367346938775,0.8231292517006803,0.9217687074829932,6.276038631936295
dry-spell threshold,727,0.20907840440165062,0.4016506189821183,0.6011004126547456,0.7647867950481431,3.266879625612569
high prospective hazard,395,0.4607594936708861,0.6708860759493671,0.8531645569620253,0.9468354430379747,6.814960958161576
random drought day,509,0.1905697445972495,0.381139489194499,0.593320235756385,0.7445972495088409,3.0728347628377843
season-matched placebo,670,0.24477611940298508,0.40746268656716417,0.6,0.7925373134328358,3.5496767384316423
