source,identifier,retrieved_utc,conditions,saved_path,bytes,sha256,validation_status
Open-Meteo Historical Weather API / ERA5-Land,brasilia,2026-09-24T06:58:46.005163431+00:00,daily precipitation_sum; timezone UTC; model era5_land,data/raw/weather/brasilia_era5_land_1991_2020.json,197517,641205e122ffb927f3c3a263bb05f93f71c16cbc100d1315c021bedfc23ebe21,excluded: all precipitation values null
Open-Meteo Historical Weather API / ERA5-Land,cape_town,2026-09-24T06:58:40.873180389+00:00,daily precipitation_sum; timezone UTC; model era5_land,data/raw/weather/cape_town_era5_land_1991_2020.json,197509,02aad62dcaf22f53f23d090bd3b3b50ff11cd5a1c3328ba18ce3f16817710b92,excluded: all precipitation values null
Open-Meteo Historical Weather API / ERA5-Land,darwin,2026-09-24T06:58:44.302169085+00:00,daily precipitation_sum; timezone UTC; model era5_land,data/raw/weather/darwin_era5_land_1991_2020.json,197510,00de61cc93ba7bf6431b2387483ec14e9ba186bc95460c6820b78dba976cd02f,excluded: all precipitation values null
Open-Meteo Historical Weather API / ERA5-Land,london,2026-09-24T06:58:41.729177713+00:00,daily precipitation_sum; timezone UTC; model era5_land,data/raw/weather/london_era5_land_1991_2020.json,197511,96c453368ac2973e770b0a451678a8c61defb2eae1af91068f7a82d678cbc8a2,excluded: all precipitation values null
Open-Meteo Historical Weather API / ERA5-Land,mumbai,2026-09-24T06:58:42.586174726+00:00,daily precipitation_sum; timezone UTC; model era5_land,data/raw/weather/mumbai_era5_land_1991_2020.json,197511,c02a01adc78faad093d69275ec7e599f2f5a1f5f167b0492f4e81f43da48a35c,excluded: all precipitation values null
Open-Meteo Historical Weather API / ERA5-Land,nairobi,2026-09-24T06:58:43.444171906+00:00,daily precipitation_sum; timezone UTC; model era5_land,data/raw/weather/nairobi_era5_land_1991_2020.json,197515,c0ae9ded2143cf1ba4e6122ad8ddcdbdc108a838ecd78be8a4eba447ebe2353b,excluded: all precipitation values null
Open-Meteo Historical Weather API / ERA5-Land,tokyo,2026-09-24T06:58:45.154166222+00:00,daily precipitation_sum; timezone UTC; model era5_land,data/raw/weather/tokyo_era5_land_1991_2020.json,197513,22a2b8cf4debf53f23f425133f954575de30e3f850d541320e98e0d03e1c8ade,excluded: all precipitation values null
Open-Meteo Historical Weather API / ERA5-Land,tucson,2026-09-24T06:58:40.019183397+00:00,daily precipitation_sum; timezone UTC; model era5_land,data/raw/weather/tucson_era5_land_1991_2020.json,197511,4b4afc0b24d204f94c9681fe79eaaf43483c8124e7198dc64ed8c91d67429444,excluded: all precipitation values null
