doi,url,retrieved_utc,saved_path,bytes,sha256,usage,status
10.1016/j.cosust.2018.09.005,https://api.crossref.org/works/10.1016%2Fj.cosust.2018.09.005,2026-09-24T09:21:25+00:00,data/raw/literature/crossref_10-1016_j-cosust-2018-09-005.json,18980,53f8feae52634d2cf2fbbde083f30c75adb4251b47b7c693c41503c08cc6105f,Crossref bibliographic metadata,verified
10.1016/j.ecoser.2016.09.002,https://api.crossref.org/works/10.1016%2Fj.ecoser.2016.09.002,2026-09-24T09:20:34+00:00,data/raw/literature/crossref_10-1016_j-ecoser-2016-09-002.json,23838,0f3b6bbe3c6a206c8416073b3086043d8e07fa0711d071145575cb80b9047dc7,Crossref bibliographic metadata,verified
10.1016/j.ecolecon.2024.108425,https://api.crossref.org/works/10.1016%2Fj.ecolecon.2024.108425,2026-09-24T09:20:34+00:00,data/raw/literature/crossref_10-1016_j-ecolecon-2024-108425.json,33472,553c3fa6f7f47c3b7e938ab867051678d555723243fd3166687e61b7a2beeb43,Crossref bibliographic metadata,verified
10.1029/2000wr900320,https://api.crossref.org/works/10.1029%2F2000WR900320,2026-09-24T09:20:35+00:00,data/raw/literature/crossref_10-1029_2000wr900320.json,8026,471f429fb8eed23d870d5888de3825130d3156445585dfc21959d5c26bdd9895,Crossref bibliographic metadata,verified
10.1111/j.1475-4932.2006.00293.x,https://api.crossref.org/works/10.1111%2Fj.1475-4932.2006.00293.x,2026-09-24T09:20:35+00:00,data/raw/literature/crossref_10-1111_j-1475-4932-2006-00293-x.json,5131,969c4b7d7ba35e7cc7ba074a90088bebb79b25a37c21f1f6f47819332c91524b,Crossref bibliographic metadata,verified
10.1002/qj.3803,https://api.crossref.org/works/10.1002%2Fqj.3803,2026-09-24T09:20:35+00:00,data/raw/literature/crossref_10-1002_qj-3803.json,41926,dcb27c5430a5687bd18a775f3a7f943f21dd939ea3db8aa59a7c736672caf6be,Crossref bibliographic metadata,verified
10.5194/essd-13-4349-2021,https://api.crossref.org/works/10.5194%2Fessd-13-4349-2021,2026-09-24T09:20:35+00:00,data/raw/literature/crossref_10-5194_essd-13-4349-2021.json,61041,76ec62be007e6c0591e23782e4542ed0cdc2dc20ec8bf69590d0ee572d67fa09,Crossref bibliographic metadata,verified
10.1175/2009jcli2909.1,https://api.crossref.org/works/10.1175%2F2009JCLI2909.1,2026-09-24T09:20:36+00:00,data/raw/literature/crossref_10-1175_2009jcli2909-1.json,23112,6aed5338c494c5e880babb41869e38f7e6f68dde5d56029126270986b3259135,Crossref bibliographic metadata,verified
10.1093/ije/dyh299,https://api.crossref.org/works/10.1093%2Fije%2Fdyh299,2026-09-24T09:20:36+00:00,data/raw/literature/crossref_10-1093_ije_dyh299.json,1765,ea0aec234099ae5e435724aac18c6ec21f3608db1dbb8f656a8389bfd9115f69,Crossref bibliographic metadata,verified
10.1126/science.185.4157.1124,https://api.crossref.org/works/10.1126%2Fscience.185.4157.1124,2026-09-24T09:20:36+00:00,data/raw/literature/crossref_10-1126_science-185-4157-1124.json,6909,cebb1150f7b8bd409fc742ea116c957f6b2d339cb59132db1170a694d83929fd,Crossref bibliographic metadata,verified
10.1037/h0055873,https://api.crossref.org/works/10.1037%2Fh0055873,2026-09-24T09:20:36+00:00,data/raw/literature/crossref_10-1037_h0055873.json,1712,e34b5ce58d79a1dbfd2d9b5d4721461102b6c177acf61ea00e3045a16c2819c2,Crossref bibliographic metadata,verified
10.1086/261849,https://api.crossref.org/works/10.1086%2F261849,2026-09-24T09:20:37+00:00,data/raw/literature/crossref_10-1086_261849.json,2074,5beec4fb9bb167a1295b82441982c8293ad86b919b0c4fd805c9e610bd519c92,Crossref bibliographic metadata,verified
10.1016/0022-0531(82)90030-8,https://api.crossref.org/works/10.1016%2F0022-0531%2882%2990030-8,2026-09-24T09:20:37+00:00,data/raw/literature/crossref_10-1016_0022-0531(82)90030-8.json,8561,7505bf8f59112ea21b346fd2cbe0aa97b43d7f79bf257bfde67497cf512e9594,Crossref bibliographic metadata,verified
10.1111/j.2517-6161.1972.tb00899.x,https://api.crossref.org/works/10.1111%2Fj.2517-6161.1972.tb00899.x,2026-09-24T09:20:37+00:00,data/raw/literature/crossref_10-1111_j-2517-6161-1972-tb00899-x.json,9725,9e90153313e44a2e10b0237251ac56122807d9375aa946592398db113730a95e,Crossref bibliographic metadata,verified
