source,identifier,url,retrieved_utc,conditions,saved_path,bytes,sha256,license,coverage
Open-Meteo Historical Weather API / ERA5,tucson,https://archive-api.open-meteo.com/v1/archive?latitude=32.2226&longitude=-110.9747&start_date=1991-01-01&end_date=2020-12-31&daily=precipitation_sum&timezone=UTC&models=era5,2026-09-24T07:02:04+00:00,daily precipitation_sum; timezone UTC; model era5,data/raw/weather/tucson_era5_1991_2020.json,186719,402cbb2792041b7288f1fc5a620e343e9b49ed6e52a23159588a3baeaa070bae,Copernicus C3S data via Open-Meteo; attribution required,"complete response validated at >=10,900 rows and >=10,800 non-null values"
Open-Meteo Historical Weather API / ERA5,cape_town,https://archive-api.open-meteo.com/v1/archive?latitude=-33.9249&longitude=18.4241&start_date=1991-01-01&end_date=2020-12-31&daily=precipitation_sum&timezone=UTC&models=era5,2026-09-24T07:02:04+00:00,daily precipitation_sum; timezone UTC; model era5,data/raw/weather/cape_town_era5_1991_2020.json,186984,6563d89b3c175a324d8a5a1767a13b5d2d6adefc5000deed43b01c38eea50af2,Copernicus C3S data via Open-Meteo; attribution required,"complete response validated at >=10,900 rows and >=10,800 non-null values"
Open-Meteo Historical Weather API / ERA5,london,https://archive-api.open-meteo.com/v1/archive?latitude=51.5074&longitude=-0.1278&start_date=1991-01-01&end_date=2020-12-31&daily=precipitation_sum&timezone=UTC&models=era5,2026-09-24T07:02:04+00:00,daily precipitation_sum; timezone UTC; model era5,data/raw/weather/london_era5_1991_2020.json,186974,8d1863e37727d1838c54c78393a6b6173edb65417a3e90539fa948fa7ed52859,Copernicus C3S data via Open-Meteo; attribution required,"complete response validated at >=10,900 rows and >=10,800 non-null values"
Open-Meteo Historical Weather API / ERA5,mumbai,https://archive-api.open-meteo.com/v1/archive?latitude=19.076&longitude=72.8777&start_date=1991-01-01&end_date=2020-12-31&daily=precipitation_sum&timezone=UTC&models=era5,2026-09-24T07:02:04+00:00,daily precipitation_sum; timezone UTC; model era5,data/raw/weather/mumbai_era5_1991_2020.json,188155,d2438ccfeceaba21a5aa3f6069793e0afa0ccf80322f62433668b2340e75e656,Copernicus C3S data via Open-Meteo; attribution required,"complete response validated at >=10,900 rows and >=10,800 non-null values"
Open-Meteo Historical Weather API / ERA5,nairobi,https://archive-api.open-meteo.com/v1/archive?latitude=-1.2921&longitude=36.8219&start_date=1991-01-01&end_date=2020-12-31&daily=precipitation_sum&timezone=UTC&models=era5,2026-09-24T07:02:04+00:00,daily precipitation_sum; timezone UTC; model era5,data/raw/weather/nairobi_era5_1991_2020.json,186979,4de11dd91e1af538cb1c3f45a4f539814cdf70c81cbc1722a96c5aabc1d9ec7a,Copernicus C3S data via Open-Meteo; attribution required,"complete response validated at >=10,900 rows and >=10,800 non-null values"
Open-Meteo Historical Weather API / ERA5,darwin,https://archive-api.open-meteo.com/v1/archive?latitude=-12.4634&longitude=130.8456&start_date=1991-01-01&end_date=2020-12-31&daily=precipitation_sum&timezone=UTC&models=era5,2026-09-24T07:02:04+00:00,daily precipitation_sum; timezone UTC; model era5,data/raw/weather/darwin_era5_1991_2020.json,188495,e4f3c346115f0827499ba61519488f1d753c55e15c1cd659e3bffaefff6bb755,Copernicus C3S data via Open-Meteo; attribution required,"complete response validated at >=10,900 rows and >=10,800 non-null values"
Open-Meteo Historical Weather API / ERA5,tokyo,https://archive-api.open-meteo.com/v1/archive?latitude=35.6762&longitude=139.6503&start_date=1991-01-01&end_date=2020-12-31&daily=precipitation_sum&timezone=UTC&models=era5,2026-09-24T07:02:04+00:00,daily precipitation_sum; timezone UTC; model era5,data/raw/weather/tokyo_era5_1991_2020.json,187870,a11c1bb79a84d5b3a79d7fd5c1a9105a0138ca8f4db85404865195254bd0ccdd,Copernicus C3S data via Open-Meteo; attribution required,"complete response validated at >=10,900 rows and >=10,800 non-null values"
Open-Meteo Historical Weather API / ERA5,brasilia,https://archive-api.open-meteo.com/v1/archive?latitude=-15.7939&longitude=-47.8828&start_date=1991-01-01&end_date=2020-12-31&daily=precipitation_sum&timezone=UTC&models=era5,2026-09-24T07:02:04+00:00,daily precipitation_sum; timezone UTC; model era5,data/raw/weather/brasilia_era5_1991_2020.json,188206,3c63aba3f5d63127ec97fb4139a382696541e90a3b45d86d5c70452c2cea66f8,Copernicus C3S data via Open-Meteo; attribution required,"complete response validated at >=10,900 rows and >=10,800 non-null values"
