date,precip_mm,region,region_name,regime,dry_spell,roll30_mm,month,year,dry_bin,roll30_mean,roll30_sd,drought_z,drought_severity,success_0.1mm_1d,success_0.1mm_3d,success_0.1mm_7d,success_0.1mm_14d,success_1mm_1d,success_1mm_3d,success_1mm_7d,success_1mm_14d,success_5mm_1d,success_5mm_3d,success_5mm_7d,success_5mm_14d,success_1mm_1d_mean,success_1mm_3d_mean,success_1mm_7d_mean,success_1mm_14d_mean,previous_dry_spell,previous_drought,rule,observer_mean_before,perceived_delta_before,scenario_wtp
2011-01-02,0.0,london,"London, United Kingdom",temperate maritime,4,22.7,1,2011,3–5,54.43781512605042,29.21881165985792,-1.0862117014037642,1.0862117014037642,0,1,1,1,0,1,1,1,0,0,1,1,0.3050847457627119,0.4915254237288136,0.7203389830508474,0.9322033898305084,3.0,0.9527360472464123,30-day deficit threshold,0.5,0.0,2.6279304964122128
2011-01-02,0.0,tucson,"Tucson, United States",hot semi-arid / monsoonal,2,31.70000000000001,1,2011,0–2,30.94554621848741,34.211305053009895,0.02205276239370535,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.18848167539267016,0.36649214659685864,0.6649214659685864,0.8272251308900523,1.0,0.0,season-matched placebo,0.5,0.0790682373051872,4.581364746103744
2011-01-05,4.4,london,"London, United Kingdom",temperate maritime,7,16.8,1,2011,6–9,54.43781512605042,29.21881165985792,-1.2881364089751428,1.2881364089751428,1,1,1,1,1,1,1,1,1,1,1,1,0.1746031746031746,0.42857142857142855,0.746031746031746,0.9682539682539683,6.0,1.2881364089751428,dry-spell threshold,0.5,0.0,2.5018441740231743
2011-01-05,0.6,nairobi,"Nairobi, Kenya",subtropical highland / bimodal rainfall,7,45.800000000000004,1,2011,6–9,38.80621848739496,39.3988033067764,0.17751253656483904,0.0,0,1,1,1,0,0,0,0,0,0,0,0,0.14130434782608695,0.2608695652173913,0.40217391304347827,0.5543478260869565,6.0,0.0,dry-spell threshold,0.5,0.0,3.0
2011-01-06,0.0,cape_town,"Cape Town, South Africa",Mediterranean winter-rainfall,3,4.4,1,2011,3–5,13.84655462184874,12.698939511184065,-0.7438853152681827,0.7438853152681827,0,1,1,1,0,0,0,0,0,0,0,0,0.030303030303030304,0.18181818181818182,0.47474747474747475,0.5454545454545454,2.0,0.7438853152681827,random drought day,0.5,0.0,2.8131931616365082
2011-01-06,9.8,london,"London, United Kingdom",temperate maritime,0,21.200000000000003,1,2011,0–2,54.43781512605042,29.21881165985792,-1.1375484914642842,1.1375484914642842,1,1,1,1,1,1,1,1,1,1,1,1,0.37755102040816324,0.6938775510204082,0.8596938775510204,0.9693877551020408,7.0,1.2881364089751428,high prospective hazard,0.5,0.0,2.5967686071346137
2011-01-06,9.8,london,"London, United Kingdom",temperate maritime,0,21.200000000000003,1,2011,0–2,54.43781512605042,29.21881165985792,-1.1375484914642842,1.1375484914642842,1,1,1,1,1,1,1,1,1,1,1,1,0.37755102040816324,0.6938775510204082,0.8596938775510204,0.9693877551020408,7.0,1.2881364089751428,random drought day,0.5,0.0,2.5967686071346137
2011-01-06,0.0,nairobi,"Nairobi, Kenya",subtropical highland / bimodal rainfall,8,43.099999999999994,1,2011,6–9,38.80621848739496,39.3988033067764,0.10898253632659262,0.0,0,1,1,1,0,0,0,0,0,0,0,0,0.14130434782608695,0.2608695652173913,0.40217391304347827,0.5543478260869565,7.0,0.0,random drought day,0.5,0.0,3.0
2011-01-07,0.0,tucson,"Tucson, United States",hot semi-arid / monsoonal,7,31.70000000000001,1,2011,6–9,30.94554621848741,34.211305053009895,0.02205276239370535,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.225,0.3625,0.55,0.8,6.0,0.0,dry-spell threshold,0.5,0.0790682373051872,4.581364746103744
2011-01-08,3.4,london,"London, United Kingdom",temperate maritime,0,37.1,1,2011,0–2,54.43781512605042,29.21881165985792,-0.5933785168227722,0.5933785168227722,0,1,1,1,0,1,1,1,0,1,1,1,0.37755102040816324,0.6938775510204082,0.8596938775510204,0.9693877551020408,0.0,0.8021481297355536,random drought day,0.6666666666666666,0.0,2.8783832207831255
