rule,region,success_0.1mm_1d_mean,success_0.1mm_1d_count,success_0.1mm_3d_mean,success_0.1mm_3d_count,success_0.1mm_7d_mean,success_0.1mm_7d_count,success_0.1mm_14d_mean,success_0.1mm_14d_count,success_1mm_1d_mean,success_1mm_1d_count,success_1mm_3d_mean,success_1mm_3d_count,success_1mm_7d_mean,success_1mm_7d_count,success_1mm_14d_mean,success_1mm_14d_count,success_5mm_1d_mean,success_5mm_1d_count,success_5mm_3d_mean,success_5mm_3d_count,success_5mm_7d_mean,success_5mm_7d_count,success_5mm_14d_mean,success_5mm_14d_count
high prospective hazard,london,0.5675675675675675,111,0.7837837837837838,111,0.954954954954955,111,1.0,111,0.36936936936936937,111,0.5855855855855856,111,0.7927927927927928,111,0.972972972972973,111,0.17117117117117117,111,0.3063063063063063,111,0.5675675675675675,111,0.7927927927927928,111
high prospective hazard,mumbai,0.88,25,0.92,25,0.96,25,1.0,25,0.84,25,0.84,25,0.88,25,1.0,25,0.52,25,0.72,25,0.88,25,1.0,25
high prospective hazard,nairobi,0.6666666666666666,39,0.8717948717948718,39,0.9743589743589743,39,1.0,39,0.41025641025641024,39,0.6410256410256411,39,0.8717948717948718,39,0.8974358974358975,39,0.15384615384615385,39,0.23076923076923078,39,0.41025641025641024,39,0.5128205128205128,39
high prospective hazard,tokyo,0.5227272727272727,44,0.75,44,1.0,44,1.0,44,0.3181818181818182,44,0.6363636363636364,44,0.9772727272727273,44,1.0,44,0.13636363636363635,44,0.4090909090909091,44,0.7045454545454546,44,0.9545454545454546,44
high prospective hazard,tucson,0.3888888888888889,36,0.5277777777777778,36,0.6388888888888888,36,0.7777777777777778,36,0.25,36,0.3611111111111111,36,0.5,36,0.6666666666666666,36,0.05555555555555555,36,0.1388888888888889,36,0.16666666666666666,36,0.3055555555555556,36
random drought day,brasilia,0.3333333333333333,51,0.49019607843137253,51,0.6078431372549019,51,0.7254901960784313,51,0.19607843137254902,51,0.37254901960784315,51,0.5098039215686274,51,0.6274509803921569,51,0.1568627450980392,51,0.2549019607843137,51,0.37254901960784315,51,0.5098039215686274,51
random drought day,cape_town,0.32673267326732675,101,0.5643564356435643,101,0.7722772277227723,101,0.9504950495049505,101,0.18811881188118812,101,0.37623762376237624,101,0.6138613861386139,101,0.801980198019802,101,0.09900990099009901,101,0.22772277227722773,101,0.38613861386138615,101,0.5544554455445545,101
random drought day,darwin,0.25,36,0.3888888888888889,36,0.5,36,0.6388888888888888,36,0.1111111111111111,36,0.16666666666666666,36,0.3055555555555556,36,0.3888888888888889,36,0.027777777777777776,36,0.08333333333333333,36,0.2777777777777778,36,0.2777777777777778,36
random drought day,london,0.3684210526315789,76,0.6578947368421053,76,0.9078947368421053,76,1.0,76,0.19736842105263158,76,0.4605263157894737,76,0.7631578947368421,76,0.9605263157894737,76,0.05263157894736842,76,0.21052631578947367,76,0.4868421052631579,76,0.7368421052631579,76
random drought day,mumbai,0.2413793103448276,29,0.27586206896551724,29,0.3793103448275862,29,0.41379310344827586,29,0.2413793103448276,29,0.27586206896551724,29,0.3103448275862069,29,0.3448275862068966,29,0.2413793103448276,29,0.2413793103448276,29,0.3103448275862069,29,0.3448275862068966,29
random drought day,nairobi,0.5522388059701493,67,0.7761194029850746,67,0.9552238805970149,67,0.9850746268656716,67,0.19402985074626866,67,0.373134328358209,67,0.6567164179104478,67,0.8208955223880597,67,0.04477611940298507,67,0.08955223880597014,67,0.22388059701492538,67,0.417910447761194,67
random drought day,tokyo,0.4666666666666667,75,0.76,75,0.9733333333333334,75,1.0,75,0.30666666666666664,75,0.68,75,0.8933333333333333,75,0.96,75,0.21333333333333335,75,0.41333333333333333,75,0.6933333333333334,75,0.8933333333333333,75
random drought day,tucson,0.25675675675675674,74,0.35135135135135137,74,0.5675675675675675,74,0.7972972972972973,74,0.08108108108108109,74,0.16216216216216217,74,0.33783783783783783,74,0.5675675675675675,74,0.02702702702702703,74,0.06756756756756757,74,0.13513513513513514,74,0.2702702702702703,74
season-matched placebo,brasilia,0.6140350877192983,57,0.7894736842105263,57,0.9298245614035088,57,0.9824561403508771,57,0.5087719298245614,57,0.6140350877192983,57,0.7017543859649122,57,0.8596491228070176,57,0.22807017543859648,57,0.43859649122807015,57,0.5263157894736842,57,0.6842105263157895,57
season-matched placebo,cape_town,0.2537313432835821,134,0.4253731343283582,134,0.6940298507462687,134,0.9029850746268657,134,0.16417910447761194,134,0.29850746268656714,134,0.5373134328358209,134,0.7686567164179104,134,0.08208955223880597,134,0.13432835820895522,134,0.26119402985074625,134,0.3656716417910448,134
season-matched placebo,darwin,0.5957446808510638,47,0.723404255319149,47,0.8936170212765957,47,0.9574468085106383,47,0.3404255319148936,47,0.44680851063829785,47,0.5531914893617021,47,0.7659574468085106,47,0.2978723404255319,47,0.3617021276595745,47,0.44680851063829785,47,0.6170212765957447,47
season-matched placebo,london,0.6018518518518519,108,0.7592592592592593,108,0.9074074074074074,108,0.9907407407407407,108,0.3055555555555556,108,0.5277777777777778,108,0.7314814814814815,108,0.9444444444444444,108,0.14814814814814814,108,0.25925925925925924,108,0.4351851851851852,108,0.7037037037037037,108
season-matched placebo,mumbai,0.44,25,0.52,25,0.56,25,0.64,25,0.32,25,0.44,25,0.48,25,0.52,25,0.16,25,0.28,25,0.36,25,0.36,25
season-matched placebo,nairobi,0.6057692307692307,104,0.8557692307692307,104,0.9423076923076923,104,0.9807692307692307,104,0.25961538461538464,104,0.4423076923076923,104,0.625,104,0.7692307692307693,104,0.0673076923076923,104,0.16346153846153846,104,0.25961538461538464,104,0.4326923076923077,104
season-matched placebo,tokyo,0.3924050632911392,79,0.7341772151898734,79,0.9367088607594937,79,1.0,79,0.24050632911392406,79,0.46835443037974683,79,0.8354430379746836,79,0.9873417721518988,79,0.12658227848101267,79,0.3670886075949367,79,0.6075949367088608,79,0.8354430379746836,79
season-matched placebo,tucson,0.20689655172413793,116,0.3620689655172414,116,0.5948275862068966,116,0.75,116,0.08620689655172414,116,0.22413793103448276,116,0.3620689655172414,116,0.603448275862069,116,0.017241379310344827,116,0.08620689655172414,116,0.1724137931034483,116,0.28448275862068967,116
