rule,region,success_0.1mm_1d_mean,success_0.1mm_1d_count,success_0.1mm_3d_mean,success_0.1mm_3d_count,success_0.1mm_7d_mean,success_0.1mm_7d_count,success_0.1mm_14d_mean,success_0.1mm_14d_count,success_1mm_1d_mean,success_1mm_1d_count,success_1mm_3d_mean,success_1mm_3d_count,success_1mm_7d_mean,success_1mm_7d_count,success_1mm_14d_mean,success_1mm_14d_count,success_5mm_1d_mean,success_5mm_1d_count,success_5mm_3d_mean,success_5mm_3d_count,success_5mm_7d_mean,success_5mm_7d_count,success_5mm_14d_mean,success_5mm_14d_count
30-day deficit threshold,brasilia,0.48717948717948717,39,0.6923076923076923,39,0.7948717948717948,39,0.9487179487179487,39,0.358974358974359,39,0.5384615384615384,39,0.6923076923076923,39,0.8974358974358975,39,0.15384615384615385,39,0.38461538461538464,39,0.5641025641025641,39,0.717948717948718,39
30-day deficit threshold,cape_town,0.3541666666666667,48,0.6666666666666666,48,0.875,48,1.0,48,0.25,48,0.4583333333333333,48,0.7916666666666666,48,0.9583333333333334,48,0.10416666666666667,48,0.22916666666666666,48,0.5416666666666666,48,0.6875,48
30-day deficit threshold,darwin,0.72,25,0.8,25,0.88,25,0.96,25,0.48,25,0.72,25,0.88,25,0.92,25,0.28,25,0.56,25,0.76,25,0.92,25
30-day deficit threshold,london,0.45,40,0.775,40,0.975,40,1.0,40,0.35,40,0.6,40,0.975,40,0.975,40,0.125,40,0.225,40,0.55,40,0.75,40
30-day deficit threshold,mumbai,0.8,30,0.8333333333333334,30,0.9333333333333333,30,1.0,30,0.7,30,0.7666666666666667,30,0.8333333333333334,30,0.9333333333333333,30,0.5,30,0.6333333333333333,30,0.7666666666666667,30,0.9333333333333333,30
30-day deficit threshold,nairobi,0.6,25,0.92,25,1.0,25,1.0,25,0.4,25,0.64,25,0.88,25,0.96,25,0.0,25,0.12,25,0.28,25,0.36,25
30-day deficit threshold,tokyo,0.5483870967741935,62,0.8064516129032258,62,0.967741935483871,62,1.0,62,0.3870967741935484,62,0.7096774193548387,62,0.9193548387096774,62,0.9838709677419355,62,0.24193548387096775,62,0.46774193548387094,62,0.7741935483870968,62,0.9193548387096774,62
30-day deficit threshold,tucson,0.28,25,0.36,25,0.56,25,0.64,25,0.12,25,0.24,25,0.48,25,0.6,25,0.04,25,0.08,25,0.16,25,0.28,25
dry-spell threshold,brasilia,0.265625,64,0.5,64,0.75,64,0.875,64,0.21875,64,0.375,64,0.53125,64,0.734375,64,0.09375,64,0.21875,64,0.375,64,0.546875,64
dry-spell threshold,cape_town,0.2727272727272727,154,0.5454545454545454,154,0.8051948051948052,154,0.9285714285714286,154,0.18831168831168832,154,0.3961038961038961,154,0.6233766233766234,154,0.8376623376623377,154,0.045454545454545456,154,0.12987012987012986,154,0.2662337662337662,154,0.45454545454545453,154
dry-spell threshold,darwin,0.3541666666666667,48,0.5625,48,0.7291666666666666,48,0.8333333333333334,48,0.2708333333333333,48,0.3541666666666667,48,0.5208333333333334,48,0.625,48,0.10416666666666667,48,0.16666666666666666,48,0.2916666666666667,48,0.4166666666666667,48
dry-spell threshold,london,0.38392857142857145,112,0.7232142857142857,112,0.9196428571428571,112,1.0,112,0.24107142857142858,112,0.5446428571428571,112,0.7946428571428571,112,0.9464285714285714,112,0.09821428571428571,112,0.2767857142857143,112,0.5267857142857143,112,0.7410714285714286,112
dry-spell threshold,mumbai,0.25,28,0.2857142857142857,28,0.4642857142857143,28,0.5357142857142857,28,0.21428571428571427,28,0.25,28,0.2857142857142857,28,0.35714285714285715,28,0.03571428571428571,28,0.14285714285714285,28,0.17857142857142858,28,0.21428571428571427,28
dry-spell threshold,nairobi,0.5045871559633027,109,0.7889908256880734,109,0.9541284403669725,109,0.9724770642201835,109,0.1651376146788991,109,0.3669724770642202,109,0.5504587155963303,109,0.6880733944954128,109,0.01834862385321101,109,0.11926605504587157,109,0.21100917431192662,109,0.3761467889908257,109
dry-spell threshold,tokyo,0.5113636363636364,88,0.7272727272727273,88,0.9545454545454546,88,1.0,88,0.38636363636363635,88,0.625,88,0.875,88,0.9772727272727273,88,0.25,88,0.3977272727272727,88,0.6931818181818182,88,0.875,88
dry-spell threshold,tucson,0.1774193548387097,124,0.3548387096774194,124,0.532258064516129,124,0.6935483870967742,124,0.08870967741935484,124,0.21774193548387097,124,0.3870967741935484,124,0.5887096774193549,124,0.024193548387096774,124,0.08064516129032258,124,0.1532258064516129,124,0.3225806451612903,124
high prospective hazard,brasilia,0.7586206896551724,58,0.9310344827586207,58,1.0,58,1.0,58,0.5862068965517241,58,0.8275862068965517,58,0.9310344827586207,58,0.9827586206896551,58,0.4827586206896552,58,0.7241379310344828,58,0.8793103448275862,58,0.9827586206896551,58
high prospective hazard,cape_town,0.40540540540540543,37,0.6486486486486487,37,0.8918918918918919,37,0.972972972972973,37,0.35135135135135137,37,0.5675675675675675,37,0.8918918918918919,37,0.972972972972973,37,0.35135135135135137,37,0.4594594594594595,37,0.7027027027027027,37,0.8918918918918919,37
high prospective hazard,darwin,0.9333333333333333,45,1.0,45,1.0,45,1.0,45,0.7555555555555555,45,0.9777777777777777,45,1.0,45,1.0,45,0.4666666666666667,45,0.7333333333333333,45,0.9111111111111111,45,0.9777777777777777,45
