scenario,outcome,mean,ci_low,ci_high,n
M3_selection_slope_2,events,16.448,6.0,33.0,2000
M3_selection_slope_2,apparent_success,0.5638033502597437,0.125,1.0,2000
M3_selection_slope_2,mean_price,3.0,3.0,3.0,2000
M3_selection_slope_2,price_success_difference,0.0,0.0,0.0,1847
M3_selection_slope_2,reputation_dispersion,0.0,0.0,0.0,2000
M3_selection_slope_2,provider_revenue,49.344,18.0,99.0,2000
M3_selection_slope_5,events,16.914,8.0,30.0,2000
M3_selection_slope_5,apparent_success,0.6800023612120983,0.2857142857142857,1.0,2000
M3_selection_slope_5,mean_price,3.0,3.0,3.0,2000
M3_selection_slope_5,price_success_difference,0.0,0.0,0.0,1904
M3_selection_slope_5,reputation_dispersion,0.0,0.0,0.0,2000
M3_selection_slope_5,provider_revenue,50.742,24.0,90.0,2000
M3_selection_slope_8,events,18.3215,6.0,34.0,2000
M3_selection_slope_8,apparent_success,0.745866432826768,0.37491071428571426,1.0,2000
M3_selection_slope_8,mean_price,3.0,3.0,3.0,2000
M3_selection_slope_8,price_success_difference,0.0,0.0,0.0,1885
M3_selection_slope_8,reputation_dispersion,0.0,0.0,0.0,2000
M3_selection_slope_8,provider_revenue,54.9645,18.0,102.0,2000
M4_prior_mean_0.25,events,16.9175,7.0,30.0,2000
M4_prior_mean_0.25,apparent_success,0.6773564562335268,0.2727272727272727,1.0,2000
M4_prior_mean_0.25,mean_price,2.937133763611267,2.078238812356843,4.637339628542592,2000
M4_prior_mean_0.25,price_success_difference,-1.4996466943866757,-6.917563841673051,0.6447224297076872,1911
M4_prior_mean_0.25,reputation_dispersion,0.12458025261478914,0.03608439182435163,0.23938728266897133,2000
M4_prior_mean_0.25,provider_revenue,49.04317359371843,18.77051292456367,96.78789580826553,2000
M4_prior_mean_0.50,events,16.8155,7.0,30.0,2000
M4_prior_mean_0.50,apparent_success,0.6812404792039054,0.27765151515151515,1.0,2000
M4_prior_mean_0.50,mean_price,3.575461966255442,2.1252730683266114,6.171387279198486,2000
M4_prior_mean_0.50,price_success_difference,-2.5528367178986495,-9.66527506816781,0.9311368195326667,1899
M4_prior_mean_0.50,reputation_dispersion,0.11485979507578446,0.030925602807655175,0.22413491937412666,2000
M4_prior_mean_0.50,provider_revenue,58.20985349091186,23.035764668903944,115.4651136569377,2000
M4_prior_mean_0.75,events,16.929,8.0,30.0,2000
M4_prior_mean_0.75,apparent_success,0.6811214081564062,0.2727272727272727,1.0,2000
M4_prior_mean_0.75,mean_price,4.643280222368793,2.259437702170906,8.35297844408463,2000
M4_prior_mean_0.75,price_success_difference,-3.7605668477118086,-11.988536575721822,1.256257425543541,1893
M4_prior_mean_0.75,reputation_dispersion,0.1139075093130339,0.022159166977658594,0.22265492976326512,2000
M4_prior_mean_0.75,provider_revenue,74.88714793675386,29.120407917934646,144.44922807110322,2000
M5_balanced_memory,events,16.761,7.0,29.0,2000
M5_balanced_memory,apparent_success,0.6783480586267631,0.26666666666666666,1.0,2000
M5_balanced_memory,mean_price,3.884573357011686,2.3070616337000094,6.491959332845075,2000
M5_balanced_memory,price_success_difference,-2.7362610256684134,-10.893254332939003,1.423843417686041,1907
M5_balanced_memory,reputation_dispersion,0.17440445857313983,0.024503184459591643,0.34570358205311214,2000
M5_balanced_memory,provider_revenue,63.776932949666815,23.155663619453094,125.24536361226941,2000
M5_base_memory,events,16.795,7.0,30.0,2000
M5_base_memory,apparent_success,0.6807868980804274,0.3076923076923077,1.0,2000
M5_base_memory,mean_price,4.623092471337506,2.5435771930691584,7.671782895170045,2000
M5_base_memory,price_success_difference,-3.192288593404272,-12.156995589236136,1.9551076876815339,1883
M5_base_memory,reputation_dispersion,0.13781555015008387,0.006483030169064068,0.3324651530948969,2000
M5_base_memory,provider_revenue,76.96559116111696,26.17134975378292,164.17372622741053,2000
M5_strong_selective_memory,events,16.9585,7.0,29.024999999999864,2000
M5_strong_selective_memory,apparent_success,0.6807932339485212,0.2857142857142857,1.0,2000
M5_strong_selective_memory,mean_price,5.1971120778249125,2.721198078229623,8.731014659523849,2000
M5_strong_selective_memory,price_success_difference,-3.3923922128023873,-12.468969565035088,2.262589905425735,1904
M5_strong_selective_memory,reputation_dispersion,0.10251333932703466,0.0019590875805814193,0.2860941573122431,2000
M5_strong_selective_memory,provider_revenue,87.6432157005835,29.021100609768208,186.75563784023913,2000
